ANTHRO 2239A - MUMMIES: SCI &amp; CLTRL ANALYSIS,"[['', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '7:00 PM', '10:00 PM', 'SSC-2032']]"
ANTHRO 1026G - INTRO BIOL ANTHRO &amp; ARCHA,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '7:00 PM', '10:00 PM', 'SSC-2028', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'BARRIE', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'LONDON', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'OTTAWA', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'SUDBURY', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'TORONTO', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'VANCOUVER', '', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', 'CALGARY']]"
ANTHRO 4430G - SUPERVISED RESEARCH,"[['', '  ', '  ', '  ', '  ', '  ', ' ', ' ', '', '', '', '']]"
"<div class=""span12"">
<!-- Search Results - timetable -->

140   Results <br/><br/><br/>
",[[]]
ANTHRO 2229G - PRINCIPLES OF ARCHAEOLOGY,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '2:30 PM', '4:30 PM', 'UCC-63', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '3:30 PM', '4:30 PM', 'UCC-63']]"
ANTHRO 4498B - ADV SPEC TP IN ANTHROPOLOGY,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '1:30 PM', '4:30 PM', 'SSC-2257']]"
ANTHRO 2230G - ARCTIC ARCHAEOLOGY,"[['', '  ', '  ', '  ', '  ', ' F', ' ', ' ', '', '9:30 AM', '12:30 PM', 'SSC-2257']]"
"ANTHRO 2251F - LANGUAGE, GENDER AND SEXUALITY","[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '1:30 PM', '3:30 PM', 'UCC-67', '', '  ', '  ', '  ', ' Th', '  ', ' ', ' ', '', '2:30 PM', '3:30 PM', 'SSC-3227']]"
ANTHRO 4400E - ANTHROPOLOGICAL THOUGHT,"[['', ' M', '  ', '  ', '  ', '  ', ' ', ' ', '', '9:30 AM', '11:30 AM', 'SSC-3102', '', '  ', '  ', ' W', '  ', '  ', ' ', ' ', '', '9:30 AM', '10:30 AM', 'SSC-3102']]"
ANTHRO 3308G - ARCHAEOLOGY: THEORY &amp; PRACTICE,"[['', '  ', ' Tu', '  ', '  ', '  ', ' ', ' ', '', '9:30 AM', '12:30 PM', 'SSC-2257']]"
